,NSSEC1_change_pct,Highest_Level_change_pct,inc_change_pct,hse_change,white_change_pct,scenario1_PCA1,scenario1_PCA2,scenario1_PCA3,scenario1_PCA_total,scenario1_PCA_total_zscore,scenario1_status,LSOA21CD
6,0.485481333142612,0.3611239060340857,0.4153369849964277,0.2326451728221283,0.3525870718073671,-0.0845316120375512,0.1821714180510614,0.0818419518104651,0.1794817578239753,1.2135258032528786,ascent,E01034477
7,0.6172221427549707,0.4783509903270382,0.4153369849964277,0.2326451728221283,0.4699727676651856,0.1171044413940222,0.1925868656579269,0.1316672519993992,0.44135855905134824,2.9841472826481006,ascent,E01034478
8,0.5439851237305107,0.4117918010133579,0.6534889259347463,0.2365551757267019,0.2191486312168554,-0.0425775444217292,0.3420385935843908,-0.1481148308858838,0.15134621827677777,1.0232936390323144,ascent,E01034469
15,0.4994993563152624,0.4454168585905113,0.4865444153369849,0.2168934468351319,0.4585065214275476,0.0520510265243959,0.1419067550134542,0.0456473531648237,0.2396051347026738,1.6200365824294125,ascent,E01033921
16,0.5063653268488056,0.4647627821280516,0.4865444153369849,0.2168934468351319,0.4848788877741149,0.0823755617882468,0.1321120420100024,0.0538107414207316,0.2682983452189808,1.8140393143051203,ascent,E01033922
17,0.4831926762980976,0.4431137724550898,0.7163610383424625,0.2359954867395044,0.5962448043571735,0.183558359739091,0.0315223882883597,-0.1576967865391294,0.05738396148832128,0.3879888340922256,ascent,E01033911
18,0.536690030038621,0.562874251497006,0.7163610383424625,0.2359954867395044,0.4633796760785438,0.2038644059136662,0.2125318090607861,-0.1438083505833242,0.2725878643911281,1.8430419397644375,ascent,E01033912
20,0.4146760120154484,0.4168585905112851,0.4248630626339604,0.2222557365328328,0.5197076107209404,0.014874456277426,0.0448639282377661,0.1011462571722752,0.1608846416874673,1.08778555771842,ascent,E01033792
21,0.6478329280503505,0.4887148779364347,0.5301262205286973,0.2209151641084076,0.0,-0.1074325021339943,0.5888879162169717,-0.0344542200497626,0.44700119403321475,3.0222986983231572,ascent,E01033789
25,0.6252324417107709,0.5734684477199447,0.4667778042391045,0.2221998793484818,0.6937078973770963,0.3213599344654901,0.0599642111374126,0.1318139628329414,0.5131381084358442,3.469468667840787,ascent,E01033929
26,0.427692747818624,0.3083832335329341,0.4667778042391045,0.2221998793484818,0.655295972481009,0.0451869735536872,-0.1056686587747842,0.0541305179432724,-0.0063511672778245945,-0.04294199848418183,ascent,E01033930
27,0.405664425690173,0.2906494702901888,0.7575613241247916,0.2542060459816341,0.5959581482012326,0.0663113055020748,-0.0650049526122086,-0.2354579144627197,-0.2341515615728535,-1.5831634662241754,ascent,E01033937
28,0.4269775425547132,0.2761400276370336,0.7575613241247916,0.2542060459816341,0.5866418231331518,0.0621765570267139,-0.0555390614204758,-0.2385851449932362,-0.23194764938699808,-1.5682622064077767,ascent,E01033938
29,0.6379630954083821,0.539382772915707,0.7575613241247916,0.2542060459816341,0.7475992546939945,0.4150245304641596,0.0164163390000514,-0.1450156877448262,0.2864251817193848,1.9365998691563828,ascent,E01033939
31,0.4089543699041624,0.3797789037309995,0.496308644915456,0.2024822932725607,0.6504228178300129,0.0829249650209277,-0.0772748360755993,0.0386582637010569,0.04430839264638529,0.29958129689025215,ascent,E01033936
32,0.5554284079530826,0.4762782128051589,0.5887115979995237,0.2172285899412382,0.3127418661315752,0.0384542309903192,0.2976695903705312,-0.0602442937747917,0.2758795275860587,1.8652977849884613,ascent,E01034386
35,0.5612930911171506,0.5204974666052511,0.4491545606096689,0.2240990236164175,0.7357030242224452,0.279165775952042,-0.0230951756035107,0.1380778164986755,0.3941484168472068,2.664946454471732,ascent,E01034384
36,0.7222142754970677,0.4940119760479041,0.567277923315075,0.2879437853296691,0.5360470116095744,0.2575239136237138,0.1948056464987008,0.0087036423600773,0.4610332024824919,3.117172988229324,ascent,E01035708
38,0.4241167214990702,0.3717181022570244,0.7246963562753036,0.2284570011394865,0.5753189049734843,0.1018583693130233,-0.0069724264874101,-0.1889270280796336,-0.0940410852540204,-0.6358377859970628,ascent,E01034144
40,0.4693176941782291,0.3942883463841548,0.7246963562753036,0.2284570011394865,0.5572595671492045,0.1263560654129497,0.0354869541537651,-0.1832052337771178,-0.02136221421040302,-0.1444358383449955,ascent,E01034146
42,0.6308110427692748,0.5375403040073699,0.3796141938556798,0.2197980204213866,0.5869284792890928,0.2174672325934867,0.1290869415749045,0.1940297522464811,0.5405839264148723,3.6550374337852185,ascent,E01034151
44,0.6928908596767271,0.5693228926761861,0.3431769468921171,0.2088500122885805,0.3756628923606134,0.1327908336722441,0.3356829910287546,0.2126715443387184,0.6811453690397171,4.605412221929358,ascent,E01034147
45,0.6029180374767558,0.4940119760479042,0.3431769468921171,0.2088500122885805,0.4398738712913859,0.0821180295269891,0.2149940932661362,0.1979314300003358,0.4950435527934611,3.3471263727984013,ascent,E01034148
47,0.4876269489343441,0.3496084753569783,0.5532269587997142,0.2163348749916214,0.5985380536047012,0.0871781290239788,-0.0157145456395268,-0.0233236179084784,0.048139965475973594,0.32548762047500446,ascent,E01034143
51,0.4713202689171792,0.3816213726393367,0.5622767325553703,0.2217530218736733,0.6207539056901247,0.1144840166080184,-0.0252713593052533,-0.0225290553170947,0.06668360198567039,0.4508662754619304,ascent,E01034140
53,0.3408668287798598,0.482726853984339,0.3398428197189806,0.2674897781352637,0.2572738999570015,-0.1518803089137813,0.2543318836025373,0.1635926619143827,0.2660442366031387,1.7987986625429406,ascent,E01034031
60,0.769703905020741,0.852372178719484,0.3979518933079304,0.2404651786312755,0.5963881324351441,0.4852611924413992,0.318087220703304,0.2597007250253145,1.0630491381700176,7.1875692267302185,ascent,E01034178
61,0.571305964811901,0.5257945647167204,0.3979518933079304,0.2404651786312755,0.6024079117099039,0.1973742460429477,0.0891376106504956,0.1735713305404524,0.46008318723389574,3.110749672391367,ascent,E01034179
63,0.3982262909455013,0.473284200829111,0.2269587997142176,0.2335947449560962,0.3004156514261145,-0.1366335531826315,0.2337494135095333,0.2762207008374664,0.3733365611643682,2.5242317423422187,ascent,E01034183
64,0.3674724645973394,0.4421925380009212,0.2269587997142176,0.2335947449560962,0.2589938368926474,-0.1941303050227759,0.2408927203186025,0.2619735192394694,0.308735934535296,2.087449039347028,ascent,E01034184
65,0.4156772993849234,0.5,0.2269587997142176,0.2335947449560962,0.5414934785724524,0.0283092781783132,0.0593958789601266,0.313807505187728,0.4015126623261678,2.714738154857083,ascent,E01034185
66,0.8014590187383779,0.8574389682174113,0.4817813765182185,0.2775543490403735,0.5621327218002006,0.5074309585691898,0.3642338667526363,0.1809927723853852,1.0526575977072115,7.11730914771133,ascent,E01034188
