,NSSEC1_change_pct,Highest_Level_change_pct,inc_change_pct,white_change_pct,scenarios_3_PCA1,scenarios_3_PCA2,scenarios_3_PCA3,scenarios_3_PCA_total,scenarios_3_PCA_total_zscore,scenarios_3_status,LSOA21CD
6,0.485481333142612,0.3611239060340857,0.4153369849964277,0.3525870718073671,-0.084357866021109,0.1816974709533686,0.0857603099929782,0.1830999149252378,1.2399072165905223,ascent,E01034477
7,0.6172221427549707,0.4783509903270382,0.4153369849964277,0.4699727676651856,0.1176413310635902,0.1927729533554645,0.1381935486172543,0.448607833036309,3.037860994243896,ascent,E01034478
8,0.5439851237305107,0.4117918010133579,0.6534889259347463,0.2191486312168554,-0.0421568037615463,0.3442606972537093,-0.1427015162976154,0.15940237719454758,1.079433367874064,ascent,E01034469
15,0.4994993563152624,0.4454168585905113,0.4865444153369849,0.4585065214275476,0.0537167460844767,0.1429531326304315,0.0510025970478625,0.2476724757627707,1.67717658511469,ascent,E01033921
16,0.5063653268488056,0.4647627821280516,0.4865444153369849,0.4848788877741149,0.0840865922229053,0.133202867014521,0.0592840732520752,0.2765735324895015,1.8728873740421308,ascent,E01033922
17,0.4831926762980976,0.4431137724550898,0.7163610383424625,0.5962448043571735,0.1852760740554053,0.0346859357334692,-0.1550787801421216,0.06488322964675292,0.439373140656879,ascent,E01033911
18,0.536690030038621,0.562874251497006,0.7163610383424625,0.4633796760785438,0.2049045217868562,0.2156114004739517,-0.1388183299308331,0.2816975923299748,1.9075862365568335,ascent,E01033912
20,0.4146760120154484,0.4168585905112851,0.4248630626339604,0.5197076107209404,0.0159996618482255,0.0446879795288266,0.1040820937818283,0.16476973515888038,1.1157797849475957,ascent,E01033792
21,0.6478329280503505,0.4887148779364347,0.5301262205286973,0.0,-0.1071476308856828,0.5903391901735163,-0.0242016146053777,0.45898994468245585,3.1081660796327237,ascent,E01033789
23,0.3739093119725361,0.2637033625057577,0.4939271255060728,0.7325498065070948,0.0472202483480711,-0.2070631209587522,0.0243745688205769,-0.13546830379010422,-0.9173577582338639,ascent,E01033931
25,0.6252324417107709,0.5734684477199447,0.4667778042391045,0.6937078973770963,0.3232895231908485,0.0613622192075997,0.1387587860516043,0.5234105284500525,3.5444062971283548,ascent,E01033929
26,0.427692747818624,0.3083832335329341,0.4667778042391045,0.655295972481009,0.047307356119689,-0.1049447078390518,0.0559558413191645,-0.0016815104001983022,-0.011386771429299405,ascent,E01033930
27,0.405664425690173,0.2906494702901888,0.7575613241247916,0.5959581482012326,0.0672265812338083,-0.0622038895862273,-0.2367012732843518,-0.2316785816367708,-1.56886990044851,ascent,E01033937
28,0.4269775425547132,0.2761400276370336,0.7575613241247916,0.5866418231331518,0.0631601699456765,-0.0526245911552221,-0.239472568023849,-0.22893698923339462,-1.5503045165853668,ascent,E01033938
29,0.6379630954083821,0.539382772915707,0.7575613241247916,0.7475992546939945,0.4162654442227148,0.0202458623047091,-0.1411371306172384,0.29537417591018544,2.0002006688810137,ascent,E01033939
31,0.4089543699041624,0.3797789037309995,0.496308644915456,0.6504228178300129,0.0862266388050189,-0.0756759212957231,0.0421234343211497,0.052674151830445486,0.3566962934364096,ascent,E01033936
32,0.5554284079530826,0.4762782128051589,0.5887115979995237,0.3127418661315752,0.0400731286210704,0.2999395789581195,-0.0530798727073455,0.2869328348718444,1.9430380007529895,ascent,E01034386
35,0.5612930911171506,0.5204974666052511,0.4491545606096689,0.7357030242224452,0.2810352600585689,-0.0221620317968271,0.1431684753614713,0.4020417036232131,2.7225267138781137,ascent,E01034384
36,0.7222142754970677,0.4940119760479041,0.567277923315075,0.5360470116095744,0.255338993328596,0.1953394859289959,0.012428075857356,0.46310655511494786,3.1360427445958,ascent,E01035708
38,0.4241167214990702,0.3717181022570244,0.7246963562753036,0.5753189049734843,0.104126062840635,-0.0036587668649535,-0.1871571361515163,-0.08668984017583481,-0.5870420992985446,ascent,E01034144
40,0.4693176941782291,0.3942883463841548,0.7246963562753036,0.5572595671492045,0.1286088539767498,0.0389698818242349,-0.1803649388245924,-0.012786203023607695,-0.08658499600196962,ascent,E01034146
41,0.4264053783435846,0.3712574850299401,0.3796141938556798,0.5202809230328221,-0.017343764907424,0.0268397739708247,0.137953775314384,0.1474497843777847,0.9984933734643254,ascent,E01034150
42,0.6308110427692748,0.5375403040073699,0.3796141938556798,0.5869284792890928,0.2189772681193921,0.129475130383166,0.2016582608349831,0.5501106593375412,3.725212962084077,ascent,E01034151
