,NSSEC1_change_pct,Highest_Level_change_pct,hse_change,white_change_pct,scenarios_2_PCA1,scenarios_2_PCA2,scenarios_2_PCA_total,scenarios_2_PCA_total_zscore,scenarios_2_status,LSOA21CD
1182,0.385352596195108,0.4223859972362966,0.2611323368411645,0.5803353877024509,0.0690217449195411,-0.0079349735793816,0.06108677134015951,0.48026125609969805,ascent,E01000886
1189,0.3530253182663423,0.523491478581299,0.2462743258037849,0.483732263150351,0.0577208955658871,0.1012082208478632,0.1589291164137503,1.2494930638035506,ascent,E01000893
1192,0.3759118867114861,0.4797328420082911,0.4430815291462788,0.5354736992976925,0.0874903128432108,0.0570457486349982,0.144536061478209,1.1363355586546304,ascent,E01000896
1195,0.4242597625518524,0.4871027176416398,0.2478615635543043,0.4784291242654436,0.0659320383651835,0.1175194015109103,0.1834514398760938,1.4422863905768335,ascent,E01000899
1205,0.3627521098555285,0.4456471672040534,0.4719932077663829,0.5804787157804214,0.0890847748577571,0.0016565327734261,0.09074130763118321,0.7134037931127523,ascent,E01000909
1206,0.3896438277785724,0.4415016121602948,0.4618830573988426,0.5639959868138168,0.0886604779124664,0.0232637803622648,0.1119242582747312,0.8799431315125233,ascent,E01000910
1209,0.3860678014590187,0.4686780285582681,0.3477109725852939,0.5705890784004588,0.0993097720684657,0.0244435323862083,0.123753304454674,0.9729425232336217,ascent,E01000913
1215,0.4601630668001717,0.3461538461538461,0.3957090510981522,0.6061344417371364,0.0828203964319847,-0.0278036007110836,0.0550167957209011,0.43253939993600365,ascent,E01000919
1219,0.3547418108997282,0.4408106863196683,0.2454923252228701,0.5584061917729684,0.0514733531024231,0.0049996871160911,0.056473040218514195,0.4439883240855135,ascent,E01000923
1224,0.4218280646545558,0.4256103178258867,0.2557700471434636,0.5490898667048874,0.069294251702218,0.0327779146657445,0.10207216636796249,0.8024864591340343,ascent,E01000928
1233,0.4510084394221141,0.3767848917549516,0.2154085394463435,0.6219005303138886,0.0934393385910507,-0.0371684973420648,0.0562708412489859,0.44239864551915126,ascent,E01000938
1234,0.4890573594621656,0.3122984799631506,0.2154085394463435,0.5959581482012326,0.0553813693468941,-0.0304989119010138,0.024882457445880305,0.19562468281818615,ascent,E01000939
1236,0.5265341152910885,0.4601566098572086,0.2220323077954286,0.5106779418088003,0.1156131637433335,0.1195768593921036,0.23519002313543708,1.8490526419242095,ascent,E01000942
1248,0.4956372478901445,0.4444956241363427,0.2411354648434881,0.6128708614017485,0.1541121747161838,0.0195414274718105,0.1736536021879943,1.365256262254204,ascent,E01000957
1253,0.394936346731512,0.4472593274988484,0.2929821033581339,0.560986097176437,0.0800639012105318,0.0238027745823395,0.10386667579287129,0.8165948058608626,ascent,E01000962
1262,0.3308539550851094,0.4829571625978812,0.3672609871081618,0.5290239357890211,0.0581507428961705,0.0426522430967893,0.1008029859929598,0.7925082241128758,ascent,E01000971
1278,0.4462880846803032,0.4085674804237678,0.2449337533793596,0.5284506234771391,0.0569992219355756,0.0508510690016949,0.1078502909372705,0.8479137963901457,ascent,E01000987
1312,0.4653125447003289,0.410409949332105,0.2348794601961704,0.4143614734126415,-0.0024179847342077,0.1496972005669724,0.14727921583276468,1.1579021061589698,ascent,E01001023
1316,0.4899156057788585,0.5034546292031321,0.215998614741828,0.3194782857961875,0.0092960578011083,0.2764476611100395,0.2857437189111478,2.2465033649052653,ascent,E01001027
1369,0.4278357888714061,0.3498387839705205,0.2778894921464798,0.6025512397878744,0.0584028447257644,-0.0408115748891514,0.017591269836613,0.13830171676738087,ascent,E01001083
1371,0.4105278214847662,0.3005527406725011,0.2600263645910137,0.6732119822273184,0.0603355143375008,-0.1269831631847766,-0.0666476488472758,-0.523980607409209,ascent,E01001085
1372,0.3731941067086253,0.3542146476278212,0.2432580378488281,0.6684821556542926,0.0720868621984221,-0.114513235438663,-0.0424263732402409,-0.33355410438458255,ascent,E01001086
1374,0.4444285509941353,0.349147858129894,0.2354380320396809,0.5995413501504945,0.0608688868733094,-0.0337431778645217,0.027125709008787698,0.2132610186354836,ascent,E01001088
1380,0.4402803604634531,0.4438046982957162,0.1438519114328484,0.4106349433854093,-0.0026234640839376,0.1542203452238767,0.1515968811399391,1.1918473829897727,ascent,E01001094
