,NSSEC1_change_pct,Highest_Level_change_pct,white_change_pct,scenarios_4_PCA1,scenarios_4_PCA2,scenarios_4_PCA_total,scenarios_4_PCA_total_zscore,scenarios_4_status,LSOA21CD
6,0.485481333142612,0.3611239060340857,0.3525870718073671,-0.0608144629513721,0.1850768497786688,0.1242623868272967,0.9785867464282958,ascent,E01034477
7,0.6172221427549707,0.4783509903270382,0.4699727676651856,0.1481058380660537,0.1990369264292808,0.34714276449533454,2.7338064005301206,ascent,E01034478
8,0.5439851237305107,0.4117918010133579,0.2191486312168554,-0.081982666979849,0.3376351948640068,0.25565252788415777,2.013305730446266,ascent,E01034469
15,0.4994993563152624,0.4454168585905113,0.4585065214275476,0.0634448929389515,0.1452167631391726,0.2086616560781241,1.6432448815716478,ascent,E01033921
16,0.5063653268488056,0.4647627821280516,0.4848788877741149,0.0949869321066639,0.1359198247405124,0.2309067568471763,1.8184287110582906,ascent,E01033922
17,0.4831926762980976,0.4431137724550898,0.5962448043571735,0.1380329746501751,0.0284258636264629,0.16645883827663802,1.310890745964539,ascent,E01033911
18,0.536690030038621,0.562874251497006,0.4633796760785438,0.1581775131531707,0.2099131431823046,0.36809065633547533,2.8987744962167565,ascent,E01033912
21,0.6478329280503505,0.4887148779364347,0.0,-0.1169377020059427,0.5884859141135625,0.4715482121076199,3.7135197741840633,ascent,E01033789
23,0.3739093119725361,0.2637033625057577,0.7325498065070948,0.0555193020483636,-0.2056238500282041,-0.15010454797984052,-1.1820980184119134,ascent,E01033931
25,0.6252324417107709,0.5734684477199447,0.6937078973770963,0.3480433005759482,0.0683297680926132,0.4163730686685614,3.2790064392938794,ascent,E01033929
26,0.427692747818624,0.3083832335329341,0.655295972481009,0.0625409037647374,-0.1022152061007622,-0.0396743023360248,-0.3124416601926593,ascent,E01033930
29,0.6379630954083821,0.539382772915707,0.7475992546939945,0.3656401637087214,0.0153230007371429,0.38096316444586426,3.000147616046048,ascent,E01033939
31,0.4089543699041624,0.3797789037309995,0.6504228178300129,0.0953331364313781,-0.0735149717375803,0.021818164693797798,0.17182163763210573,ascent,E01033936
32,0.5554284079530826,0.4762782128051589,0.3127418661315752,0.0210817298819391,0.2974833324895782,0.31856506237151727,2.508752293203091,ascent,E01034386
34,0.4311257330853955,0.3767848917549516,0.5741722803497205,0.057724640674265,-0.0054510699955082,0.0522735706787568,0.41166297188391965,ascent,E01034383
35,0.5612930911171506,0.5204974666052511,0.7357030242224452,0.3094140858607081,-0.0150548588003257,0.2943592270603824,2.3181273565146934,ascent,E01034384
36,0.7222142754970677,0.4940119760479041,0.5360470116095744,0.249031322462063,0.1965630995403657,0.4455944220024287,3.509129405827299,ascent,E01035708
38,0.4241167214990702,0.3717181022570244,0.5753189049734843,0.0518483335437765,-0.0115169464419302,0.0403313871018463,0.3176163108615425,ascent,E01034144
40,0.4693176941782291,0.3942883463841548,0.5572595671492045,0.0769003469831042,0.0314539159622629,0.1083542629453671,0.853307652819448,ascent,E01034146
42,0.6308110427692748,0.5375403040073699,0.5869284792890928,0.2631182293755563,0.1388437461848808,0.4019619755604371,3.1655167093987453,ascent,E01034151
44,0.6928908596767271,0.5693228926761861,0.3756628923606134,0.1843992687146743,0.3459177521459093,0.5303170208605836,4.176333814839495,ascent,E01034147
45,0.6029180374767558,0.4940119760479042,0.4398738712913859,0.1326749075520461,0.2241777039251785,0.3568526114772246,2.8102730434856467,ascent,E01034148
47,0.4876269489343441,0.3496084753569783,0.5985380536047012,0.0828597991606053,-0.014108815297774,0.06875098386283131,0.5414253124364842,ascent,E01034143
51,0.4713202689171792,0.3816213726393367,0.6207539056901247,0.1086049016117933,-0.0237864135048472,0.0848184881069461,0.6679595526271543,ascent,E01034140
53,0.3408668287798598,0.482726853984339,0.2572738999570015,-0.1125427558262125,0.2570044224936091,0.14446166666739663,1.1376593994137114,ascent,E01034031
60,0.769703905020741,0.852372178719484,0.5963881324351441,0.5338251364381926,0.3310702874956255,0.8648954239338181,6.81119380142305,ascent,E01034178
61,0.571305964811901,0.5257945647167204,0.6024079117099039,0.2363664864954075,0.0970158793910302,0.3333823658864377,2.6254409969027797,ascent,E01034179
63,0.3982262909455013,0.473284200829111,0.3004156514261145,-0.0644151850361406,0.2418880508216034,0.17747286578546279,1.3976280252018385,ascent,E01034183
64,0.3674724645973394,0.4421925380009212,0.2589938368926474,-0.1240679952777936,0.2480395012908383,0.1239715060130447,0.976296012145098,ascent,E01034184
65,0.4156772993849234,0.5,0.5414934785724524,0.1077070271766911,0.0701797774906067,0.1778868046672978,1.4008878620192182,ascent,E01034185
66,0.8014590187383779,0.8574389682174113,0.5621327218002006,0.5315073695678026,0.3734364632452527,0.9049438328130553,7.1265816122111305,ascent,E01034188
68,0.7017594049492205,0.7420543528327959,0.4577898810376953,0.3472035876075767,0.363026880418426,0.7102304680260028,5.593181820060906,ascent,E01034193
69,0.6748676870261765,0.7351450944265314,0.3877024509101332,0.2871390582961126,0.4044545895481787,0.6915936478442912,5.446413794023086,ascent,E01034191
70,0.5179516521241596,0.5032243205895901,0.5545363336677656,0.1671931522715783,0.1029508526661048,0.2701440049376831,2.127428497140415,ascent,E01034192
72,0.4221141467601201,0.5152003684937816,0.5109645979647413,0.1017661275162032,0.1038953911373651,0.2056615186535683,1.6196183056133557,ascent,E01035641
74,0.5374052353025318,0.6190695532012898,0.6376666188906407,0.3000112366820197,0.0977043323719888,0.3977155690540085,3.1320755593191696,ascent,E01035644
