LSOA21CD,area_m2_2021
E01000410,278215
E01000411,189477
E01000412,246743
E01000413,203208
E01000414,292438
E01000415,227956
E01000416,176111
E01000417,737210
E01000418,518745
E01000419,267749
E01000420,273378
E01000421,285866
E01000422,105657
E01000423,289523
E01000424,387901
E01000425,358787
E01000426,258181
E01000427,408465
E01000428,884077
E01000429,305902
E01000430,1508130
E01000431,147516
E01000433,312513
E01000434,1552540
E01000435,173894
E01000436,277134
E01000437,265257
E01000438,186251
E01000439,248444
E01000440,241580
E01000441,238407
E01000442,310051
E01000443,272590
E01000444,1373830
E01000445,591489
E01000446,275658
E01000447,988302
E01000448,462405
E01000449,454555
E01000450,228604
E01000451,208245
E01000452,161313
E01000453,209235
E01000454,204185
E01000455,262222
E01000456,168957
E01000457,299737
E01000458,334410
E01000459,316492
E01000460,509420
E01000461,548360
E01000462,462052
E01000463,235302
E01000464,145826
E01000465,261394
E01000466,2362730
E01000467,174936
E01000468,290371
E01000469,379979
E01000470,357089
E01000471,139702
E01000472,428247
E01000473,173884
E01000474,195745
E01000475,314515
E01000476,225631
E01000477,379797
E01000478,193727
E01000479,310205
E01000480,296290
E01000481,258412
E01000483,227165
E01000484,304822
E01000485,175962
E01000486,747686
E01000487,306856
E01000488,159270
E01000489,319590
E01000490,132624
E01000491,366166
E01000492,161551
E01000493,183449
E01000494,220740
E01000495,174983
E01000497,303017
E01000498,287196
E01000499,526225
E01000501,157699
E01000502,373163
E01000503,403600
E01000504,147772
E01000505,156554
E01000506,297251
E01000507,238128
E01000508,231992
E01000509,128981
E01000510,178476
E01000511,164567
E01000512,153860
E01000513,168348
E01000514,157000
E01000515,379990
E01000516,246827
E01000517,229521
E01000518,507383
E01000519,729807
E01000520,242499
E01000521,143877
E01000522,145271
E01000523,137470
E01000524,155141
E01000525,159832
E01000526,137901
E01000527,127727
E01000528,108053
E01000530,177373
E01000531,106826
E01000532,103403
E01000533,184774
E01000534,153521
E01000535,189871
E01000536,336452
E01000538,396650
E01000539,281474
E01000540,378532
E01000541,240551
E01000543,194564
E01000544,72667.7
E01000545,115605
E01000546,94938.5
E01000547,76550.3
E01000548,107806
E01000549,110681
E01000550,143536
E01000551,137034
E01000552,87662
E01000553,143430
E01000554,213363
E01000555,205393
E01000556,96614.6
E01000557,117813
E01000558,174186
E01000559,112490
E01000560,209907
E01000561,114742
E01000562,309939
E01000563,380542
E01000564,208126
E01000565,188478
E01000566,209265
E01000567,202304
E01000568,801169
E01000569,372638
E01000570,131848
E01000571,352204
E01000572,216649
E01000573,234163
E01000574,219285
E01000575,273472
E01000576,292315
E01000577,343710
E01000578,335258
E01000579,112842
E01000580,446369
E01000581,164841
E01000582,193674
E01000583,199042
E01000584,123572
E01000585,99264.4
E01000586,153747
E01000587,196281
E01000589,290468
E01000590,269145
E01000591,319845
E01000592,198626
E01000593,179483
E01000594,241507
E01000595,189419
E01000596,197054
E01000599,87711
E01000601,701021
E01000602,131421
E01000603,120455
E01000604,166434
E01000605,175148
E01000606,233598
E01000607,198767
E01000608,564636
E01000609,249597
E01000610,286534
E01000611,120842
E01000612,259472
E01000613,218867
E01000615,667044
E01000616,171188
E01000617,274188
E01000618,180599
E01000619,210281
E01000620,440340
E01000621,215664
E01000622,628009
E01000623,192095
E01000624,263808
E01000625,269198
E01000626,203107
E01000627,225324
E01000628,350244
E01000629,179107
E01000630,285696
E01000631,252832
E01000632,285574
E01000633,165554
E01000634,168447
E01000636,213939
E01000637,71043.4
E01000638,289340
E01000639,97052.9
E01000640,126709
E01000641,108741
E01000642,158471
E01000643,575453
E01000644,120407
E01000645,778744
E01000646,350496
E01000647,253538
E01000648,380754
E01000649,848758
E01000650,883799
E01000651,286500
E01000652,587382
E01000653,500525
E01000654,1049250
E01000655,375539
E01000656,3399660
E01000657,309236
E01000658,2166500
E01000659,511023
E01000661,938135
E01000662,518856
E01000663,313647
E01000664,802640
E01000665,837949
E01000666,2976010
E01000667,1060530
E01000668,697597
E01000669,172455
E01000670,484558
E01000671,346519
E01000672,329392
E01000673,473100
E01000674,199967
E01000676,331159
E01000677,384071
E01000678,296886
E01000679,293064
E01000680,8235100
E01000681,314459
E01000682,285997
E01000683,255914
E01000684,409232
E01000685,1104400
E01000686,443815
E01000687,574407
E01000688,923801
E01000689,1386930
E01000690,332538
E01000691,243397
E01000692,352498
E01000693,2665960
E01000694,1019480
E01000695,758979
E01000696,2042310
E01000697,512997
E01000698,1131860
E01000699,136627
E01000700,200723
E01000701,132308
E01000702,139095
E01000703,236315
E01000704,330225
E01000705,151205
E01000706,297874
E01000707,155909
E01000708,236666
E01000709,250636
E01000710,546195
E01000711,278748
E01000712,359096
E01000713,418134
E01000714,326708
E01000715,303844
E01000716,401545
E01000717,309568
E01000718,334166
E01000719,347938
E01000720,7503810
E01000721,270728
E01000722,578217
E01000723,417494
E01000724,412408
E01000725,341070
E01000726,280111
E01000727,387610
E01000728,2730370
E01000729,261481
E01000730,368775
E01000731,232543
E01000732,353875
E01000733,371866
E01000734,321050
E01000735,513030
E01000736,398801
E01000737,364287
E01000738,513956
E01000739,228777
E01000741,136325
E01000742,265599
E01000743,312130
E01000744,211089
E01000745,473012
E01000746,178590
E01000747,9939000
E01000748,9857160
E01000749,9213140
E01000750,313370
E01000751,1839810
E01000752,1385400
E01000753,864833
E01000754,384789
E01000755,344583
E01000756,1009380
E01000757,539169
E01000758,304503
E01000759,4591220
E01000760,505833
E01000761,586698
E01000762,323247
E01000763,848972
E01000764,497931
E01000765,2309020
E01000766,370666
E01000767,313543
E01000768,475278
E01000769,1198400
E01000770,687308
E01000771,371426
E01000772,330636
E01000773,307808
E01000774,377154
E01000775,1107170
E01000777,246028
E01000778,205093
E01000779,1159170
E01000780,208942
E01000781,172643
E01000782,282594
E01000783,188822
E01000784,226138
E01000785,210347
E01000786,945690
E01000787,346289
E01000788,376397
E01000789,141933
E01000790,515546
E01000791,401899
E01000792,314687
E01000793,470286
E01000794,459461
E01000795,288188
E01000796,99940.7
E01000797,657183
E01000798,133090
E01000799,217274
E01000800,231392
E01000801,187785
E01000802,187027
E01000803,257540
E01000804,667167
E01000805,156331
E01000806,164001
E01000807,812309
E01000808,335833
E01000809,548908
E01000810,372790
E01000811,295521
E01000812,382548
E01000813,610524
E01000814,476995
E01000815,496958
E01000816,297826
E01000818,1292320
E01000819,398635
E01000820,587367
E01000822,218521
E01000823,242844
E01000824,168714
E01000825,174500
E01000826,513343
E01000827,375281
E01000828,345853
E01000829,221348
E01000830,591336
E01000831,406747
E01000832,865812
E01000833,360801
E01000834,211262
E01000835,334795
E01000836,211503
E01000837,483874
E01000838,545051
E01000839,268374
E01000840,800653
E01000841,337537
E01000842,103358
E01000843,84550.6
E01000844,115076
E01000845,118280
E01000846,82059.7
E01000847,98849.2
E01000848,100242
E01000849,78752.6
E01000850,195079
E01000851,135688
E01000853,58527.7
E01000855,322202
E01000856,119917
E01000857,75563.9
E01000858,218626
E01000859,95125.9
E01000860,209624
E01000861,112573
E01000862,170076
E01000863,162029
E01000866,141705
E01000867,80588.1
E01000868,83227.8
E01000869,114116
E01000870,127693
E01000871,301137
E01000872,152683
E01000873,124206
E01000874,85806.8
E01000875,115792
E01000876,117421
E01000877,112396
E01000878,187421
E01000879,179718
E01000880,201521
E01000881,146603
E01000882,120149
E01000883,139786
E01000884,246639
E01000885,309532
E01000886,99796.4
E01000887,97844.9
E01000888,94034
E01000889,114078
E01000890,75170
E01000891,78564.6
E01000892,121895
E01000893,532963
E01000894,225693
E01000895,95372.6
E01000896,146296
E01000897,199087
E01000898,173105
E01000899,1080430
E01000900,101108
E01000901,106471
E01000902,80867.4
E01000903,103198
