OBJECTID,FID_gen_lo,LSOA21CD,gen,FID_gwr_ov,Observed,Cond,LocalR2,Predicted,Intercept,park_density,density_airbnb,NSSES_1_and_2_change_pct,NSSES_3_change_pct,NSSES_4_change_pct,NSSES_5_change_pct,NSSES_6_change_pct,NSSES_7_change_pct,converted_or_share_house_change_pct,average_chn_11_19,Resident_in_UK_4_and_Less_change_pct,1_car_or_van_in_household_change_pct,2_cars_or_vans_in_household_change_pct,income_score_change,compared_mean_price_2011,Residual,StdError,StdErr_Int,StdErrC1_p,StdErrC2_d,StdErrC3_N,StdErrC4_N,StdErrC5_N,StdErrC6_N,StdErrC7_N,StdErrC8_N,StdErrC9_c,StdErrC10_,StdErrC11_,StdErrC12_,StdErrC13_,StdErrC14_,StdErrC15_,StdResid,Source_ID,Shape_Leng,Shape_Area
11.00 ,292.00 ,E01000305,1.00 ,292.00 ,0.15 ,4.05 ,0.45 ,0.36 ,-0.23 ,0.05 ,0.06 ,0.46 ,-0.06 ,0.08 ,-0.05 ,0.06 ,-0.09 ,0.09 ,-0.01 ,0.01 ,-0.03 ,0.04 ,0.21 ,-0.02 ,-0.21 ,0.32 ,0.04 ,0.02 ,0.05 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.02 ,0.03 ,0.04 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,-0.65 ,292.00 ,6153.43 ,689867.35 
12.00 ,300.00 ,E01000313,1.00 ,300.00 ,0.07 ,4.00 ,0.44 ,-0.08 ,-0.24 ,0.05 ,0.02 ,0.45 ,-0.05 ,0.09 ,-0.05 ,0.05 ,-0.08 ,0.09 ,-0.01 ,0.01 ,-0.02 ,0.03 ,0.22 ,-0.02 ,0.15 ,0.31 ,0.04 ,0.02 ,0.05 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.02 ,0.04 ,0.04 ,0.02 ,0.03 ,0.02 ,0.03 ,0.02 ,0.47 ,300.00 ,3219.54 ,217342.05 
13.00 ,360.00 ,E01000373,1.00 ,360.00 ,0.13 ,5.12 ,0.39 ,0.25 ,-0.19 ,-0.01 ,-0.03 ,0.23 ,0.03 ,0.01 ,0.00 ,-0.05 ,-0.02 ,0.15 ,-0.03 ,0.03 ,0.02 ,0.04 ,0.18 ,-0.01 ,-0.11 ,0.25 ,0.04 ,0.02 ,0.10 ,0.04 ,0.03 ,0.04 ,0.03 ,0.03 ,0.03 ,0.07 ,0.04 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,-0.45 ,360.00 ,1453.88 ,89327.79 
14.00 ,474.00 ,E01000491,1.00 ,474.00 ,0.08 ,6.40 ,0.45 ,-0.03 ,-0.20 ,0.05 ,0.22 ,0.40 ,0.02 ,0.04 ,-0.01 ,0.01 ,-0.04 ,0.02 ,0.04 ,0.03 ,-0.05 ,0.06 ,0.11 ,0.00 ,0.11 ,0.33 ,0.05 ,0.02 ,0.04 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,0.03 ,0.04 ,0.03 ,0.01 ,0.35 ,474.00 ,3798.56 ,366166.43 
15.00 ,497.00 ,E01000516,1.00 ,497.00 ,0.07 ,3.94 ,0.44 ,-0.03 ,-0.26 ,0.02 ,-0.08 ,0.48 ,-0.03 ,0.09 ,-0.05 ,0.04 ,-0.08 ,0.07 ,0.00 ,0.00 ,-0.01 ,0.01 ,0.23 ,-0.01 ,0.10 ,0.33 ,0.03 ,0.02 ,0.06 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.02 ,0.04 ,0.04 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.32 ,497.00 ,2981.95 ,246826.97 
16.00 ,509.00 ,E01000528,1.00 ,509.00 ,0.15 ,4.34 ,0.53 ,-0.23 ,-0.11 ,0.02 ,0.18 ,0.51 ,0.01 ,0.03 ,-0.04 ,0.09 ,-0.10 ,0.04 ,0.03 ,0.06 ,-0.07 ,0.07 ,0.19 ,-0.04 ,0.38 ,0.31 ,0.04 ,0.03 ,0.05 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.02 ,0.03 ,0.04 ,0.02 ,0.03 ,0.03 ,0.03 ,0.02 ,1.23 ,509.00 ,2619.95 ,108052.51 
17.00 ,514.00 ,E01000534,1.00 ,514.00 ,0.15 ,5.47 ,0.49 ,0.08 ,-0.16 ,0.04 ,0.20 ,0.44 ,0.02 ,0.04 ,-0.02 ,0.04 ,-0.07 ,0.03 ,0.04 ,0.05 ,-0.06 ,0.08 ,0.12 ,0.00 ,0.08 ,0.32 ,0.04 ,0.02 ,0.04 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.02 ,0.03 ,0.04 ,0.02 ,0.03 ,0.03 ,0.03 ,0.02 ,0.24 ,514.00 ,2738.14 ,153520.99 
18.00 ,522.00 ,E01000544,1.00 ,522.00 ,0.14 ,9.43 ,0.38 ,0.18 ,-0.14 ,0.03 ,0.13 ,0.30 ,0.02 ,0.04 ,0.00 ,-0.02 ,-0.03 ,0.01 ,0.05 ,0.01 ,-0.03 ,0.03 ,0.08 ,0.02 ,-0.04 ,0.32 ,0.06 ,0.02 ,0.05 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,0.03 ,0.04 ,0.03 ,0.01 ,-0.13 ,522.00 ,1910.09 ,72667.68 
19.00 ,527.00 ,E01000549,1.00 ,527.00 ,0.06 ,8.04 ,0.41 ,-0.09 ,-0.18 ,0.04 ,0.17 ,0.34 ,0.02 ,0.04 ,0.00 ,-0.01 ,-0.03 ,0.01 ,0.04 ,0.01 ,-0.04 ,0.04 ,0.09 ,0.01 ,0.15 ,0.32 ,0.05 ,0.02 ,0.04 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,0.03 ,0.04 ,0.03 ,0.01 ,0.46 ,527.00 ,1725.10 ,110681.20 
20.00 ,529.00 ,E01000551,1.00 ,529.00 ,0.07 ,8.53 ,0.40 ,0.10 ,-0.16 ,0.04 ,0.15 ,0.32 ,0.02 ,0.04 ,0.00 ,-0.01 ,-0.03 ,0.01 ,0.05 ,0.01 ,-0.04 ,0.04 ,0.09 ,0.02 ,-0.03 ,0.33 ,0.06 ,0.02 ,0.05 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,0.03 ,0.04 ,0.03 ,0.01 ,-0.11 ,529.00 ,1987.61 ,137033.53 
21.00 ,530.00 ,E01000552,1.00 ,530.00 ,0.14 ,9.25 ,0.39 ,0.24 ,-0.15 ,0.03 ,0.13 ,0.31 ,0.02 ,0.04 ,0.00 ,-0.02 ,-0.03 ,0.01 ,0.05 ,0.00 ,-0.03 ,0.03 ,0.08 ,0.02 ,-0.09 ,0.32 ,0.06 ,0.02 ,0.05 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,0.03 ,0.04 ,0.03 ,0.01 ,-0.29 ,530.00 ,1487.46 ,87662.00 
22.00 ,564.00 ,E01000586,1.00 ,564.00 ,0.09 ,7.24 ,0.43 ,0.13 ,-0.16 ,0.04 ,0.16 ,0.36 ,0.03 ,0.05 ,-0.01 ,0.00 ,-0.03 ,0.03 ,0.05 ,0.04 ,-0.04 ,0.06 ,0.10 ,0.01 ,-0.05 ,0.32 ,0.05 ,0.02 ,0.04 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,0.03 ,0.04 ,0.03 ,0.01 ,-0.14 ,564.00 ,3816.33 ,153747.29 
23.00 ,599.00 ,E01000626,1.00 ,599.00 ,0.05 ,4.03 ,0.47 ,-0.17 ,-0.16 ,0.02 ,0.07 ,0.52 ,-0.03 ,0.06 ,-0.04 ,0.08 ,-0.11 ,0.09 ,0.00 ,0.02 ,-0.04 ,0.05 ,0.23 ,-0.06 ,0.23 ,0.33 ,0.04 ,0.03 ,0.05 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.02 ,0.04 ,0.04 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.68 ,599.00 ,2964.74 ,203107.38 
24.00 ,669.00 ,E01000699,1.00 ,669.00 ,0.09 ,3.74 ,0.41 ,0.24 ,-0.16 ,0.00 ,0.09 ,0.30 ,0.03 ,-0.07 ,-0.02 ,-0.01 ,0.03 ,0.07 ,0.00 ,0.08 ,0.01 ,0.03 ,0.05 ,0.03 ,-0.15 ,0.33 ,0.03 ,0.02 ,0.08 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,-0.45 ,669.00 ,1882.59 ,136626.73 
25.00 ,672.00 ,E01000702,1.00 ,672.00 ,0.11 ,3.76 ,0.37 ,0.09 ,-0.14 ,0.00 ,0.08 ,0.25 ,0.02 ,-0.06 ,-0.01 ,0.00 ,0.01 ,0.07 ,-0.01 ,0.07 ,0.01 ,0.03 ,0.03 ,0.02 ,0.02 ,0.32 ,0.03 ,0.02 ,0.08 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,0.06 ,672.00 ,1684.02 ,139094.71 
26.00 ,691.00 ,E01000721,1.00 ,691.00 ,-0.02 ,10.55 ,0.21 ,0.06 ,-0.08 ,0.00 ,0.09 ,0.11 ,0.01 ,-0.01 ,0.02 ,-0.01 ,-0.01 ,-0.02 ,0.00 ,-0.03 ,0.02 ,0.00 ,0.04 ,0.01 ,-0.08 ,0.26 ,0.05 ,0.02 ,0.18 ,0.05 ,0.03 ,0.04 ,0.03 ,0.03 ,0.04 ,0.07 ,0.05 ,0.04 ,0.03 ,0.03 ,0.05 ,0.03 ,-0.30 ,691.00 ,3215.50 ,270727.59 
27.00 ,710.00 ,E01000741,1.00 ,710.00 ,0.16 ,3.97 ,0.38 ,0.24 ,-0.14 ,0.00 ,0.07 ,0.28 ,0.02 ,-0.06 ,-0.02 ,-0.01 ,0.03 ,0.07 ,-0.01 ,0.06 ,-0.01 ,0.02 ,0.03 ,0.03 ,-0.08 ,0.32 ,0.03 ,0.02 ,0.07 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.05 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,-0.26 ,710.00 ,1831.23 ,136325.31 
