LSOA21CD,park_pct
E01000001,0.036359986
E01000003,0.054669565
E01000005,0.006678607
E01000007,0.034132243
E01000053,0.006894807
E01000085,0.013120109
E01000090,0.028163113
E01000095,0.027883657
E01000101,0.002045333
E01000102,0.295989146
E01000105,0.265020773
E01000108,0.089508479
E01000114,0.013674182
E01000151,0.130807576
E01000154,0.117362872
E01000160,0.33346443
E01000175,0.437294349
E01000209,0.294106152
E01000237,0.130605018
E01000268,0.010791383
E01000282,0.274244075
E01000284,0.055651272
E01000288,0.284550143
E01000292,0.11114965
E01000298,0.331695234
E01000299,0.006873907
E01000302,0.009467975
E01000313,0.114960428
E01000324,0.027592558
E01000327,0.057592544
E01000330,0.036401381
E01000333,0.164649325
E01000335,0.117742395
E01000350,0.239619172
E01000360,0.000353586
E01000365,0.133401949
E01000376,0.014500365
E01000389,0.20535949
E01000423,0.023490059
E01000424,0.01308714
E01000428,0.61457664
E01000436,0.01124447
E01000447,0.159025967
E01000448,0.160316173
E01000449,0.042783072
E01000457,0.074413741
E01000459,0.079815654
E01000462,0.170720317
E01000465,0.08914727
E01000466,0.307846211
E01000491,0.041829696
E01000493,0.021469309
E01000495,0.009417837
E01000502,0.601256589
E01000531,0.010510121
E01000548,0.044757495
E01000580,0.307817201
E01000583,0.024221705
E01000586,0.009586632
E01000608,0.262532941
E01000646,0.00921171
E01000648,9.20853E-05
E01000656,0.172978418
E01000658,0.121221767
E01000671,0.032920766
E01000677,0.17711653
E01000714,0.047811491
E01000722,0.116623167
E01000725,0.076573445
E01000727,0.219695441
E01000729,0.011790149
E01000730,0.02583933
E01000739,0.013965336
E01000759,0.206365387
E01000767,0.127857042
E01000769,0.387137308
E01000770,0.478984666
E01000779,0.130475329
E01000799,0.022636282
E01000806,0.090028898
E01000843,0.011099478
E01000845,0.042096804
E01000846,0.034714831
E01000850,0.048058282
E01000855,0.122125957
E01000856,0.041051518
E01000858,0.030555561
E01000861,0.086880657
E01000862,0.037197386
E01000863,0.000141958
E01000879,0.002082166
E01000880,0.002582953
E01000881,0.002813615
E01000883,0.00481356
E01000885,0.08377805
E01000895,0.031208878
E01000897,0.008159321
E01000899,0.809694297
E01000904,0.130290762
E01000906,0.035979622
E01000907,0.167811846
E01000912,0.953367175
E01000913,0.833514444
E01000914,0.123768279
E01000918,0.027605935
E01000920,0.047791875
E01000922,0.021081271
E01000928,0.016665075
E01000931,0.318675039
E01000942,0.088149139
E01000946,0.41254567
E01000947,0.084094131
E01000956,0.013640466
E01000959,0.042635069
E01000963,0.00851166
E01001013,0.000842666
E01001015,0.160174053
E01001018,0.544352492
E01001024,0.042893128
E01001027,0.098867241
E01001049,0.505063194
E01001064,0.476313867
E01001102,0.195521939
E01001113,0.029456424
E01001125,0.011880383
E01001140,0.79242275
E01001172,0.251528507
E01001217,0.008755441
E01001220,0.294606624
E01001234,0.195705801
E01001248,0.549095531
E01001296,0.003536249
E01001335,0.127212974
E01001353,0.041262495
E01001354,0.024255775
E01001377,0.061794801
E01001386,0.167396731
E01001387,0.434037933
E01001407,0.408405527
E01001415,0.730136337
E01001440,0.266935903
E01001465,0.003426846
E01001472,0.202848482
E01001477,0.00858754
E01001507,0.185577321
E01001513,0.135989355
E01001518,0.479600773
E01001523,0.517402737
E01001547,0.002497783
E01001552,0.027801392
E01001568,0.420285592
E01001599,0.111755007
E01001614,0.167543932
E01001635,0.470397949
E01001641,0.2887111
E01001642,1.221750151
E01001644,0.005644607
E01001652,0.015646497
E01001658,0.259162609
E01001665,0.31941043
E01001682,0.576493424
E01001729,0.037562339
E01001731,0.019890451
E01001734,0.063340102
E01001737,0.039075467
E01001739,0.068910969
E01001740,0.049838956
E01001747,0.020674722
E01001750,0.072025392
E01001753,0.038884701
E01001758,0.014458651
E01001761,0.001294847
E01001762,0.007538415
E01001770,0.057835921
E01001774,0.455240025
E01001775,0.217525643
E01001780,0.035554227
E01001781,0.293986604
E01001785,0.126044665
E01001793,0.353919868
E01001805,0.293679908
E01001806,0.526870039
E01001816,0.35823777
E01001821,0.072601279
E01001829,0.01223711
E01001831,0.137077173
E01001836,0.720763017
E01001841,0.836826606
E01001849,0.298384594
E01001865,0.031728017
E01001866,0.059984579
E01001875,0.108876329
E01001877,0.077948783
E01001880,0.005566075
E01001881,0.000239191
E01001883,0.080122548
E01001884,0.014321309
E01001894,0.08165509
E01001898,0.029132138
E01001899,0.004997806
E01001909,0.011768341
E01001911,0.024731931
E01001914,0.012272864
E01001915,0.281579428
E01001920,0.001035402
E01001925,0.184993725
E01001928,0.061699287
E01001929,0.007732458
E01001933,0.008538821
E01001940,0.016214303
E01001941,0.102595524
E01001948,0.080293172
E01001951,0.005545726
E01001953,0.062525042
E01001956,0.023572978
E01001962,0.207659631
E01001963,0.020915621
E01001984,0.22476291
E01001985,0.036207592
E01001993,0.223978331
E01001996,0.012772929
E01001997,0.052848991
E01002007,0.037306992
E01002008,0.14136718
E01002014,0.007462381
E01002017,0.014729252
E01002019,0.007279221
E01002022,0.197291753
E01002029,0.070375586
E01002052,0.512800567
E01002056,0.075595691
E01002066,0.047221261
E01002068,0.147595654
E01002069,0.02789045
E01002084,0.714382427
E01002088,0.539062254
E01002098,0.103409804
E01002100,0.026064218
E01002119,0.071631992
E01002137,0.129569398
E01002179,0.007323609
E01002192,0.168929107
E01002201,0.175690817
E01002238,0.175246171
E01002253,0.129501567
E01002257,0.032888077
E01002260,0.570183406
E01002261,0.031591972
E01002285,0.457843682
E01002288,0.556642462
E01002291,0.050149561
E01002324,0.507851668
E01002334,0.165353818
E01002337,0.123183727
E01002342,0.012799509
E01002345,0.175353074
E01002346,0.011638035
E01002368,0.005097044
E01002384,0.012602689
E01002385,0.297296605
E01002386,0.140444191
E01002436,0.128801695
E01002443,0.587606026
E01002444,0.299865291
E01002447,0.035864866
E01002460,0.098617323
E01002494,0.334578975
E01002497,0.027017493
E01002505,0.21661627
E01002508,0.042934466
E01002509,0.014664437
E01002562,0.79326075
E01002563,0.304045804
E01002565,0.226856901
E01002572,0.398653542
E01002584,0.159145914
E01002598,0.019997818
E01002607,0.276057244
E01002610,0.260669028
E01002612,0.030028518
E01002615,0.62508213
E01002629,0.205789613
E01002650,0.852416937
E01002678,0.309487641
E01002693,0.05476397
E01002694,0.028362475
E01002695,0.004805105
E01002699,0.038447006
E01002700,0.143732285
E01002701,0.023460296
E01002702,0.039269234
E01002703,0.034801922
E01002704,0.037381129
E01002706,0.072050384
E01002707,0.054144429
E01002708,0.08583581
E01002710,0.180202869
E01002711,0.000319164
E01002723,0.097669442
E01002726,0.092291613
E01002727,0.035056607
E01002729,0.031497993
E01002733,0.016029488
E01002735,0.017068429
E01002740,0.234198132
E01002760,0.006112621
E01002765,0.007817022
E01002766,0.422145841
E01002770,0.045430339
E01002771,0.041000165
E01002774,0.203438891
E01002776,0.011140239
E01002778,0.013694821
E01002779,0.058153088
E01002790,0.009615033
E01002792,0.001049458
E01002793,0.048590542
E01002794,0.054819116
E01002795,0.11629775
E01002805,0.016895074
E01002806,0.179568193
E01002818,0.012906386
E01002819,0.010184574
E01002826,0.561113245
E01002831,0.010384808
E01002846,0.000769645
E01002852,0.005488274
E01002853,0.074579442
E01002860,0.037614288
E01002878,0.031848558
E01002884,0.065694598
E01002890,0.000114848
E01002892,0.00814843
E01002900,0.006980108
E01002924,0.135548909
E01002968,0.007816334
E01002973,0.231240485
E01002987,0.068212662
E01002989,0.004096331
E01003006,0.236654835
E01003013,0.059969029
E01003014,0.294141395
E01003016,0.045993513
E01003020,0.294761495
E01003026,0.52150265
E01003040,0.486991379
E01003047,0.043404628
E01003061,0.012934658
E01003062,0.057202375
E01003068,0.47539232
E01003069,0.373812006
E01003071,0.003406284
E01003074,0.630114419
E01003081,0.05400539
E01003093,0.008681201
E01003096,0.022545703
E01003097,0.017387349
E01003098,0.007470177
E01003099,0.636582835
E01003104,0.051939497
E01003110,0.019256421
E01003115,0.119132187
E01003164,0.019220431
E01003169,0.159518221
E01003187,0.289850461
E01003233,0.012073728
E01003247,0.242821021
E01003251,0.08181384
E01003254,0.152217862
E01003256,0.030076115
E01003257,0.061898527
E01003259,0.0128632
E01003273,0.179807907
E01003282,0.103220655
E01003283,0.221711505
E01003285,0.036055332
E01003299,0.029724281
E01003301,0.062674994
E01003303,0.106625422
E01003304,0.042781944
E01003313,0.303010671
E01003318,0.010558376
E01003345,0.008111298
E01003357,0.087878813
E01003374,0.284234715
E01003378,0.162271706
E01003383,0.046221443
E01003401,0.014401877
E01003402,0.002332637
E01003447,0.104172014
E01003456,0.072514367
E01003459,0.179069775
E01003460,1.619232679
E01003461,0.006148428
E01003463,0.180076574
E01003474,0.052305755
E01003478,0.249267518
E01003489,0.106888368
E01003496,0.02117104
E01003521,0.005759428
E01003526,0.312066695
E01003527,0.453122078
E01003537,0.077364169
E01003544,0.038913928
E01003546,0.025870327
E01003558,0.00258684
E01003559,0.032579888
E01003566,0.056048559
E01003571,0.007478939
E01003573,0.003366117
E01003574,0.014416871
E01003590,0.051600997
E01003616,0.033467492
E01003618,0.092479534
E01003619,0.088686779
E01003635,0.69899667
E01003636,0.183451411
E01003672,0.029808027
E01003681,0.151864005
E01003689,0.001396013
E01003690,0.667341162
E01003710,0.000408875
E01003769,0.030747789
E01003797,0.088564319
E01003798,0.069983251
E01003801,0.0146762
E01003811,0.011351956
E01003812,0.050831779
E01003813,0.004449914
E01003816,1.082657408
E01003817,1.186368302
E01003819,0.486111985
E01003821,0.586713436
E01003824,0.149126577
E01003826,0.197634594
E01003827,0.111272462
E01003829,0.075483682
E01003834,0.31427473
E01003847,0.290897583
E01003854,0.087025108
E01003855,0.053261976
E01003858,0.008007093
E01003860,0.903898478
E01003866,0.000976671
E01003870,0.152395401
E01003876,0.138298317
E01003879,0.098603406
E01003880,0.135126703
E01003881,0.088543071
E01003882,0.004431771
E01003884,0.02336778
E01003888,0.668341269
E01003895,0.657381793
E01003896,0.194823539
E01003897,0.018126435
E01003899,0.127511897
E01003900,0.18489553
E01003904,0.445936769
E01003908,0.004005879
E01003912,0.091164295
E01003913,0.054747194
E01003914,0.053741271
E01003918,0.030383561
E01003922,0.046741339
E01003929,0.028694393
E01003930,0.006402116
E01003933,0.207877428
E01003939,0.086442723
E01003945,0.465632631
E01003979,0.017744729
E01003981,0.103301541
E01003988,0.035814923
E01004010,0.134652478
E01004015,0.859922611
E01004028,0.026639316
E01004031,0.3552088
E01004035,0.582028418
E01004036,0.001808086
E01004042,0.042421275
E01004046,0.103476378
E01004048,0.045699813
E01004052,0.036668652
E01004061,0.075163701
E01004062,0.116476187
E01004063,0.000234256
E01004066,0.066696224
E01004067,0.048704752
E01004069,0.359195657
E01004099,0.304129057
E01004121,0.018817896
E01004198,0.103603811
E01004199,0.104127164
E01004205,0.035398744
E01004208,0.030094995
E01004222,0.008749705
E01004232,0.197414651
E01004234,0.919844056
E01004236,0.07649272
E01004241,0.100445568
E01004244,0.053556188
E01004251,0.182635452
E01004255,0.037572883
E01004258,0.064671537
E01004266,0.101430266
E01004270,0.61452136
E01004286,0.021941789
E01004288,0.120155673
E01004289,0.107278759
E01004293,0.082342966
E01004306,0.079118548
E01004307,0.023147443
E01004309,0.069594536
E01004310,0.012975306
E01004315,0.037571521
E01004316,0.004750751
E01004321,0.044521649
E01004326,0.080999729
E01004336,0.179082259
E01004339,0.048929847
E01004344,0.008572984
E01004345,0.004775752
E01004346,0.069277327
E01004348,0.034846335
E01004352,0.212589156
E01004354,0.018874419
E01004356,0.215307059
E01004358,0.002187432
E01004359,0.066630263
E01004365,0.022530005
E01004381,0.035326877
E01004384,0.136509151
E01004392,0.013272676
E01004394,0.02696937
E01004397,0.02347495
E01004400,0.018238948
E01004403,0.022522039
E01004406,0.006375619
E01004407,0.117580541
E01004409,0.036400954
E01004411,0.009103292
E01004422,0.430855191
E01004424,0.114899574
E01004427,0.462776448
E01004440,0.051966494
E01004445,0.010484257
E01004448,0.039107479
E01004452,0.01051143
E01004455,0.06969934
E01004458,0.011460582
E01004464,0.058071745
E01004465,0.074668948
E01004466,0.043766354
E01004467,0.140283276
E01004470,0.009544581
E01004476,0.284173745
E01004483,1.126602084
E01004486,1.048719706
E01004499,0.002906612
E01004508,0.160392895
E01004512,0.002374387
E01004515,0.0091345
E01004560,0.970343446
E01004568,0.018355955
E01004569,0.129573657
E01004573,1.580185786
E01004585,0.001604042
E01004593,0.234846167
E01004602,0.01934956
E01004604,0.336221626
E01004605,0.090788047
E01004615,0.031532193
E01004619,0.868075175
E01004643,0.255961871
E01004654,0.012849967
E01004659,0.029714143
E01004661,0.004836592
E01004679,0.001386396
E01004680,0.394667431
E01004687,0.145489479
E01004698,0.1509197
E01004709,0.102049601
E01004712,0.024720613
E01004713,0.036075143
E01004714,0.007397214
E01004727,1.086913813
E01004731,0.326954721
E01004733,0.109278353
E01004735,0.012714874
E01004736,0.403188092
E01004741,0.016838632
E01004742,0.05060325
E01004744,0.007234837
E01004751,0.021457702
E01004762,0.090192524
E01004763,0.023483559
E01004765,0.003102347
E01032572,0.25129544
E01032573,0.11113904
E01032582,0.028881539
E01032583,0.029704227
E01032639,0.000659751
E01032739,0.018109035
E01032764,0.160830425
E01032767,0.022748589
E01033030,0.150253743
E01033083,0.010917115
E01033098,0.584870821
E01033099,0.257752517
E01033486,0.206546813
E01033488,0.183463165
E01033490,0.058002136
E01033581,0.140547233
E01033584,0.094523714
E01033586,0.148282537
E01033593,0.053870184
E01033598,0.083436146
E01033700,0.042718242
E01033706,0.057755168
E01033708,0.007518321
E01033712,0.047542311
E01033713,0.513621298
E01033862,0.218303443
E01033863,0.105121442
E01033864,0.021116108
E01033865,0.167945054
E01033867,0.043609278
E01033868,0.03254779
E01033873,0.061154638
E01033883,0.001769279
