LSOA11CD,area_m2_2011
E01000001,133324.98 
E01000002,226210.02 
E01000003,57285.33 
E01000005,190747.44 
E01000006,144195.36 
E01000007,198162.90 
E01000008,193415.71 
E01000009,128580.60 
E01000010,348603.30 
E01000011,90289.08 
E01000012,141038.37 
E01000013,208865.30 
E01000014,340191.12 
E01000015,279686.69 
E01000016,196146.75 
E01000017,160742.83 
E01000018,173253.49 
E01000019,180913.75 
E01000020,188493.45 
E01000021,172180.94 
E01000022,128353.34 
E01000023,213372.50 
E01000024,127910.93 
E01000025,150600.53 
E01000027,1482271.53 
E01000028,147320.20 
E01000029,252995.87 
E01000030,283575.62 
E01000031,843558.24 
E01000032,379273.85 
E01000033,142773.37 
E01000034,514979.30 
E01000035,394370.30 
E01000036,429868.42 
E01000037,237523.24 
E01000038,212626.42 
E01000039,1526337.78 
E01000040,169277.51 
E01000041,152096.16 
E01000042,231993.84 
E01000043,265291.19 
E01000044,174521.11 
E01000045,299625.10 
E01000046,157083.65 
E01000048,64035.83 
E01000049,213576.21 
E01000050,138559.07 
E01000051,65283.00 
E01000052,200565.36 
E01000053,178093.16 
E01000054,171028.18 
E01000055,147219.36 
E01000056,248942.06 
E01000057,146500.01 
E01000058,182148.87 
E01000059,208286.92 
E01000060,550426.48 
E01000061,605453.45 
E01000062,225905.71 
E01000063,182803.63 
E01000064,209332.33 
E01000065,231179.04 
E01000066,245844.32 
E01000067,192143.12 
E01000068,341676.78 
E01000069,195352.59 
E01000070,395832.16 
E01000071,270620.11 
E01000072,522566.98 
E01000073,282915.10 
E01000074,164401.01 
E01000075,517483.66 
E01000076,189495.11 
E01000077,174029.86 
E01000078,171828.49 
E01000079,308769.01 
E01000080,232962.98 
E01000081,186414.84 
E01000082,163000.28 
E01000083,179273.59 
E01000084,152429.30 
E01000085,144636.17 
E01000086,140154.66 
E01000087,375332.60 
E01000088,225008.89 
E01000089,150241.60 
E01000090,1943349.39 
E01000091,247768.62 
E01000092,2643473.19 
E01000093,292287.19 
E01000094,600179.39 
E01000095,2297381.23 
E01000096,598631.97 
E01000097,181423.75 
E01000098,173016.83 
E01000099,310681.81 
E01000100,210477.53 
E01000101,160965.31 
E01000102,254854.74 
E01000103,698240.29 
E01000104,216166.30 
E01000105,223898.18 
E01000106,220861.20 
E01000107,539324.48 
E01000108,238528.11 
E01000109,375582.70 
E01000110,188423.40 
E01000111,301360.33 
E01000112,276282.48 
