,Unnamed: 0_x,Conversion_2011_2018_pct_x,New_build_2011_2018_pct_x,house_change_pct_x,all_household_dependent_children_change_pct_x,all_household_non_dependent_children_change_pct_x,professional_occupations_change_pct_x,other_higer_occupation_change_pct_x,avg_churn_x,Elementary_occupations_change_pct_x,Resident_in_UK_4_and_Less_change_pct_x,all_usual_residents_change_pct_x,professional_occupations_2011_pct_x,All_usual_residents_2011_x,cluste_robust_x,LSOA21CD,classification_robust_x,classification_cluster_robust_x,LSOA21NM_x,borough_name_x,space_x,Unnamed: 0_y,Conversion_2011_2018_pct_y,New_build_2011_2018_pct_y,house_change_pct_y,all_household_dependent_children_change_pct_y,all_household_non_dependent_children_change_pct_y,household_no_children_change_pct,professional_occupations_change_pct_y,other_higer_occupation_change_pct_y,avg_churn_y,Elementary_occupations_change_pct_y,Resident_in_UK_4_and_Less_change_pct_y,all_usual_residents_change_pct_y,professional_occupations_2011_pct_y,All_usual_residents_2011_y,cluste_robust_y,classification_robust_y,classification_cluster_robust_y,LSOA21NM_y,borough_name_y,space_y
428,701,0.622242259,0.214731123,0.0214183,0.253965398,-0.260308298,-0.396220543,0.052558747,0.34280272,0.06544856,0.052118968,-0.136186316,0.703759437,0.561179144,3,E01003953,gen,cluster4,Southwark 028A,Southwark,inner,701,0.622242259,0.214731123,0.0214183,0.253965398,-0.260308298,-0.18425213,-0.396220543,0.052558747,0.34280272,0.06544856,0.052118968,-0.136186316,0.703759437,0.561179144,0,gen,cluster1,Southwark 028A,Southwark,inner
429,703,0.024055202,-0.013079469,0.180837385,0.53111404,0.269671023,-0.305053735,-0.480499909,0.067293476,-0.137502532,0.148230713,0.026837412,0.436633085,0.222253007,3,E01003955,gen,cluster4,Southwark 028B,Southwark,inner,703,0.024055202,-0.013079469,0.180837385,0.53111404,0.269671023,0.093547994,-0.305053735,-0.480499909,0.067293476,-0.137502532,0.148230713,0.026837412,0.436633085,0.222253007,0,gen,cluster1,Southwark 028B,Southwark,inner
430,704,0.453228115,-0.001858491,0.306780858,0.591633885,-0.499987718,-0.314420148,-0.583935189,0.067293476,-0.046488601,0.150430192,0.130510798,0.542091952,0.068799499,3,E01003956,gen,cluster4,Southwark 030C,Southwark,inner,704,0.453228115,-0.001858491,0.306780858,0.591633885,-0.499987718,-0.355321062,-0.314420148,-0.583935189,0.067293476,-0.046488601,0.150430192,0.130510798,0.542091952,0.068799499,0,gen,cluster1,Southwark 030C,Southwark,inner
431,706,0.035858482,0.008322236,-0.06574415,-0.342209333,0.245598461,0.393280546,0.130493817,0.34280272,-0.078289726,-0.010998245,-0.172583217,0.041387983,0.278047008,0,E01003960,gen,cluster1,Southwark 012A,Southwark,inner,706,0.035858482,0.008322236,-0.06574415,-0.342209333,0.245598461,-0.298142272,0.393280546,0.130493817,0.34280272,-0.078289726,-0.010998245,-0.172583217,0.041387983,0.278047008,3,gen,cluster4,Southwark 012A,Southwark,inner
432,707,0.376089154,1.031856821,-0.225244341,-0.396171077,0.295623034,0.137705432,0.145550136,0.556102922,0.28096696,0.151529341,0.446345606,-0.071883341,0.271922801,0,E01003969,gen,cluster1,Southwark 017B,Southwark,inner,707,0.376089154,1.031856821,-0.225244341,-0.396171077,0.295623034,-0.227530585,0.137705432,0.145550136,0.556102922,0.28096696,0.151529341,0.446345606,-0.071883341,0.271922801,3,gen,cluster4,Southwark 017B,Southwark,inner
433,708,-0.116049868,1.00147118,-0.301111754,-0.610523282,-0.004809328,0.27204172,0.443581802,0.775135754,-0.64266463,0.009806132,-0.697946424,-0.818541936,0.21267441,0,E01003971,gen,cluster1,Southwark 015D,Southwark,inner,708,-0.116049868,1.00147118,-0.301111754,-0.610523282,-0.004809328,0.647255895,0.27204172,0.443581802,0.775135754,-0.64266463,0.009806132,-0.697946424,-0.818541936,0.21267441,3,gen,cluster4,Southwark 015D,Southwark,inner
434,709,-0.276982988,-0.018735257,-0.19788402,0.379452439,0.105857179,0.288894595,0.114074668,0.484366642,-0.605616553,0.120603161,-0.351706747,-0.332603747,0.034144669,0,E01003972,gen,cluster1,Southwark 016D,Southwark,inner,709,-0.276982988,-0.018735257,-0.19788402,0.379452439,0.105857179,0.088101853,0.288894595,0.114074668,0.484366642,-0.605616553,0.120603161,-0.351706747,-0.332603747,0.034144669,3,gen,cluster4,Southwark 016D,Southwark,inner
435,710,-0.292753698,-0.001858491,-0.292288836,-0.506214446,0.729308923,0.200832453,0.299138418,0.135219902,-0.475339677,0.078123442,0.123118415,-0.299030553,0.007665884,0,E01003975,gen,cluster1,Southwark 004A,Southwark,inner,710,-0.292753698,-0.001858491,-0.292288836,-0.506214446,0.729308923,-0.157774522,0.200832453,0.299138418,0.135219902,-0.475339677,0.078123442,0.123118415,-0.299030553,0.007665884,3,gen,cluster4,Southwark 004A,Southwark,inner
436,711,-0.261410713,0.888838076,-0.344499686,-0.094439754,0.342752761,0.425398395,-0.273929811,0.413266763,-0.573753918,0.443089649,0.329489295,0.262527883,0.39338654,3,E01003976,gen,cluster4,Southwark 036D,Southwark,inner,711,-0.261410713,0.888838076,-0.344499686,-0.094439754,0.342752761,0.325295941,0.425398395,-0.273929811,0.413266763,-0.573753918,0.443089649,0.329489295,0.262527883,0.39338654,0,gen,cluster1,Southwark 036D,Southwark,inner
437,712,-0.276982988,0.212516138,-0.284269157,0.212829999,-0.088656739,0.185067824,-0.155903183,0.272973945,0.087543278,0.368040031,0.168871341,-0.363186655,0.054204232,3,E01003977,gen,cluster4,Southwark 010A,Southwark,inner,712,-0.276982988,0.212516138,-0.284269157,0.212829999,-0.088656739,0.233778045,0.185067824,-0.155903183,0.272973945,0.087543278,0.368040031,0.168871341,-0.363186655,0.054204232,3,gen,cluster4,Southwark 010A,Southwark,inner
