,Conversion_2011_2018_pct,New_build_2011_2018_pct,house_change_pct,all_household_dependent_children_change_pct,all_household_non_dependent_children_change_pct,professional_occupations_change_pct,other_higer_occupation_change_pct,avg_churn,Elementary_occupations_change_pct,Resident_in_UK_4_and_Less_change_pct,all_usual_residents_change_pct,professional_occupations_2011_pct,All_usual_residents_2011,cluste_robust,LSOA21CD,classification_robust,classification_cluster_robust,LSOA21NM,borough_name,space
344,-0.276982988,-0.018735257,-0.310243726,0.307873314,-0.208184168,-0.154748365,0.107235192,0.203779865,-0.239263409,0.41388377,-0.104182827,0.375265232,0.048614793,3,E01002721,gen,cluster4,Islington 014C,Islington,inner
345,0.708978654,-0.017790517,-0.277039494,0.52278428,-0.052530284,0.164120406,-0.472424603,0.135219902,0.246103131,0.714539715,0.150675209,0.097461961,-0.322511318,3,E01002722,gen,cluster4,Islington 018A,Islington,inner
346,0.778237964,0.866743362,-0.354967608,-0.550845916,0.170883198,0.264091347,0.266183445,0.556102922,0.15842825,0.360850139,0.517378482,-0.537901793,0.076696168,0,E01002734,gen,cluster1,Islington 005B,Islington,inner
347,0.937157873,0.173172261,-0.317898577,-0.038865559,0.012857909,0.033913009,-0.317242239,0.484366642,-0.161558806,0.442086868,0.770769624,0.234143461,0.02417948,3,E01002735,gen,cluster4,Islington 003A,Islington,inner
348,0.103657117,0.027482599,0.079437975,0.135900266,-0.161234181,-0.248606728,-0.44549133,0.135219902,0.200104706,0.278569787,-0.052620487,0.625828393,0.243939347,3,E01002739,gen,cluster4,Islington 013A,Islington,inner
349,0.166558132,-0.011200938,-0.142545891,0.201514038,-0.144398381,-0.144954008,-0.026594918,0.135219902,0.072797995,0.047573387,-0.274987154,0.382026281,0.054204232,3,E01002743,gen,cluster4,Islington 009C,Islington,inner
350,-0.075898297,-0.018735257,-0.008246709,-0.045444156,0.097602294,-0.530786538,0.308754618,0.135219902,0.032567581,0.175611855,0.236468539,0.243461728,-0.312155235,2,E01002749,potential gen,cluster3,Islington 006D,Islington,inner
351,0.047514786,0.872504998,-0.155793993,-0.192959827,0.255897604,-0.128811837,0.256575944,0.34280272,0.18489553,0.548670197,0.07438393,0.340976489,-0.107797249,3,E01002752,gen,cluster4,Islington 009E,Islington,inner
352,0.648221897,0.504294601,-0.201897471,0.042588714,-0.334572595,0.138977151,0.266183445,0.067293476,0.403447055,0.0430209,0.185118626,-0.369973272,-0.085810856,0,E01002760,gen,cluster1,Islington 002E,Islington,inner
353,-0.261410713,0.96189668,-0.257034252,0.140188426,0.170883198,0.302200493,0.439448996,0.067293476,0.558641452,-0.535929577,0.314973422,-0.4964937,0.194813043,0,E01002766,gen,cluster1,Islington 015E,Islington,inner
354,-0.049960418,0.049829186,-0.297323873,-0.00995817,0.276575389,-0.005750363,-0.244120893,-0.066661115,-0.102807057,0.365987409,-0.048982396,0.299911233,-0.020678452,3,E01002768,gen,cluster4,Islington 004A,Islington,inner
355,1.006537908,0.027482599,-0.247986047,-0.133999246,-0.308591055,0.105446583,-0.360498861,0.484366642,-0.318158715,0.871984707,0.287677146,0.380901633,-0.087914328,3,E01002770,gen,cluster4,Islington 004B,Islington,inner
356,0.712402072,-0.018735257,-0.163843586,-0.222867097,0.164161907,-0.111311483,0.094926872,0.203779865,0.207732477,0.432042178,-0.013837014,0.327612843,0.259718242,3,E01002772,gen,cluster4,Islington 002F,Islington,inner
357,0.553747082,-0.017790517,-0.24506337,-0.041333792,0.13239784,0.068209376,-0.002046389,0.203779865,0.419521066,0.009806132,-0.025386207,0.271662504,0.599564217,3,E01002774,gen,cluster4,Islington 004E,Islington,inner
358,0.459737423,0.657761807,-0.194116328,-0.233040432,0.001604611,-0.261115469,0.126388449,0.135219902,0.253823614,0.32777605,0.169163572,0.287958741,0.041925091,3,E01002776,gen,cluster4,Islington 014E,Islington,inner
359,0.750442035,-0.016846622,-0.33359196,-0.207157904,0.516459971,-0.388178064,0.569101296,0.272973945,0.723706561,0.186496651,0.406722781,0.142079649,-0.279798723,0,E01002781,gen,cluster1,Islington 012D,Islington,inner
360,0.861696671,-0.013079469,0.070868713,-0.197698801,-0.063567592,-0.342980048,0.092192169,0.135219902,0.162197695,0.17670206,-0.192086782,0.44849433,0.410097665,3,E01002785,gen,cluster4,Islington 008B,Islington,inner
361,0.279101634,0.387777025,-0.335922212,0.329242658,-0.023979,0.331584702,0.100396801,0.413266763,-0.123670835,0.60645085,-0.284534514,-0.369973272,-0.003277528,3,E01002787,gen,cluster4,Islington 010E,Islington,inner
362,0.459737423,0.280558692,-0.110353273,0.124769956,0.099251781,-0.273760258,-0.471078508,0.067293476,0.188692028,0.403751986,-0.089177923,0.603762722,0.285415417,3,E01002792,gen,cluster4,Islington 017E,Islington,inner
363,0.453228115,0.033789974,-0.172862842,0.104293617,0.003209974,0.192370722,-0.538308422,-0.066661115,0.007210152,0.675455218,0.232456694,0.52537266,0.160642382,3,E01002794,gen,cluster4,Islington 020B,Islington,inner
364,0.024055202,-0.017790517,0.223892758,0.505239287,-0.337443944,-0.625020205,-0.496643971,0.135219902,-0.272408086,0.125040379,-0.042890104,0.600376062,0.406232023,3,E01002798,gen,cluster4,Islington 018C,Islington,inner
365,-0.186436568,0.712774898,-0.037170272,-0.760245152,0.076226793,0.66941059,0.645108897,0.067293476,0.219203111,0.805877515,0.716667542,-0.371918817,-0.54875179,1,E01002800,renew,cluster2,Islington 018E,Islington,inner
366,0.520627815,-0.013079469,-0.213287415,-0.319446646,0.204667344,0,0.366492327,0.067293476,-0.168397146,0.111709303,-0.248817308,-0.086726397,0.050848964,0,E01002804,gen,cluster1,Islington 001D,Islington,inner
367,0.793398256,-0.01590357,-0.274058401,-0.078175524,-0.022385663,0.223490316,-0.280700998,0.34280272,0.054453417,0.131684139,-0.274755794,0.36221742,-0.058281764,3,E01002805,gen,cluster4,Islington 003B,Islington,inner
368,0.368544623,-0.01590357,0.108418987,0.252207835,-0.047788693,0.325119815,-0.426623941,0.203779865,0.261559546,0.273289938,0.008777048,0.275905366,-0.030408095,3,E01002806,gen,cluster4,Islington 003C,Islington,inner
369,0.648221897,-0.018735257,-0.200479745,-0.555056485,0.255897604,-0.078619048,0.16472018,0.272973945,0.320071379,0.20058997,0.071644668,0.074605538,0.031926473,0,E01002810,gen,cluster1,Islington 003F,Islington,inner
